transaction_id,date,description,category,account_type,amount,account_number,vendor_ein
1001,2025-01-01,Daily sales deposit,Revenue,revenue,4500.0,1310890481380148,
1002,2025-01-04,Daily sales deposit,Revenue,revenue,4500.0,1310890481380148,
1003,2025-01-07,Daily sales deposit,Revenue,revenue,4500.0,1310890481380148,
1004,2025-01-10,Daily sales deposit,Revenue,revenue,4500.0,1310890481380148,
1005,2025-01-13,Daily sales deposit,Revenue,revenue,4500.0,1310890481380148,
1006,2025-01-16,Daily sales deposit,Revenue,revenue,4500.0,1310890481380148,
1007,2025-01-19,Daily sales deposit,Revenue,revenue,4500.0,1310890481380148,
1008,2025-01-22,Daily sales deposit,Revenue,revenue,4500.0,1310890481380148,
1009,2025-01-25,Daily sales deposit,Revenue,revenue,4500.0,1310890481380148,
1010,2025-01-01,Daily sales deposit,Revenue,revenue,4500.0,1310890481380148,
1011,2025-01-05,Northwind Wholesale Supply - COGS,COGS,expense,17100.0,6416484054459667,88-1234567
1012,2025-01-05,Aperture Payroll Processing - Payroll,Payroll,expense,11500,5155074104460949,88-2345678
1013,2025-01-05,Riverbend Properties LLC - Rent,Rent,expense,4200.0,9234670341961681,88-3456789
1014,2025-01-05,BrightPath Media Co - Marketing,Marketing,expense,2000.0,7603334216848202,88-4567890
1015,2025-01-05,Metro Power & Water - Utilities,Utilities,expense,1250.0,0264884572147823,88-5678901
1016,2025-02-01,Daily sales deposit,Revenue,revenue,4554.0,1310890481380148,
1017,2025-02-04,Daily sales deposit,Revenue,revenue,4554.0,1310890481380148,
1018,2025-02-07,Daily sales deposit,Revenue,revenue,4554.0,1310890481380148,
1019,2025-02-10,Daily sales deposit,Revenue,revenue,4554.0,1310890481380148,
1020,2025-02-13,Daily sales deposit,Revenue,revenue,4554.0,1310890481380148,
1021,2025-02-16,Daily sales deposit,Revenue,revenue,4554.0,1310890481380148,
1022,2025-02-19,Daily sales deposit,Revenue,revenue,4554.0,1310890481380148,
1023,2025-02-22,Daily sales deposit,Revenue,revenue,4554.0,1310890481380148,
1024,2025-02-25,Daily sales deposit,Revenue,revenue,4554.0,1310890481380148,
1025,2025-02-01,Daily sales deposit,Revenue,revenue,4554.0,1310890481380148,
1026,2025-02-05,Northwind Wholesale Supply - COGS,COGS,expense,17305.2,6416484054459667,88-1234567
1027,2025-02-05,Aperture Payroll Processing - Payroll,Payroll,expense,11500,5155074104460949,88-2345678
